"mass","form","mod","rad","ref","thk","shape","ht","vol","conc","hd","keff","sd"
25,"alpha","h2o",27.94,"h2o",10.16,"sph",55.88,91362.47,0.000273635,1,0.05049,1e-05
25,"alpha","h2o",27.94,"h2o",12.7,"sph",55.88,91362.47,0.000273635,1,0.05049,2e-05
25,"alpha","h2o",27.94,"h2o",15.24,"sph",55.88,91362.47,0.000273635,1,0.0505,1e-05
25,"alpha","h2o",30.48,"h2o",2.54,"sph",60.96,118613.3,0.000210769,1,0.0404,1e-05
25,"alpha","h2o",30.48,"h2o",5.08,"sph",60.96,118613.3,0.000210769,1,0.04054,1e-05
25,"alpha","h2o",30.48,"h2o",7.62,"sph",60.96,118613.3,0.000210769,1,0.04061,1e-05
25,"alpha","h2o",30.48,"h2o",10.16,"sph",60.96,118613.3,0.000210769,1,0.04062,1e-05
25,"alpha","h2o",30.48,"h2o",12.7,"sph",60.96,118613.3,0.000210769,1,0.04061,1e-05
25,"alpha","h2o",30.48,"h2o",15.24,"sph",60.96,118613.3,0.000210769,1,0.04063,1e-05
25,"alpha","h2o",33.02,"h2o",2.54,"sph",66.04,150806.4,0.000165775,1,0.03293,1e-05
25,"alpha","h2o",33.02,"h2o",5.08,"sph",66.04,150806.4,0.000165775,1,0.03305,1e-05
25,"alpha","h2o",33.02,"h2o",7.62,"sph",66.04,150806.4,0.000165775,1,0.03307,1e-05
25,"alpha","h2o",33.02,"h2o",10.16,"sph",66.04,150806.4,0.000165775,1,0.03307,1e-05
25,"alpha","h2o",33.02,"h2o",12.7,"sph",66.04,150806.4,0.000165775,1,0.03306,1e-05
25,"alpha","h2o",33.02,"h2o",15.24,"sph",66.04,150806.4,0.000165775,1,0.03308,1e-05
25,"alpha","h2o",35.56,"h2o",2.54,"sph",71.12,188353.6,0.000132729,1,0.02715,1e-05
25,"alpha","h2o",35.56,"h2o",5.08,"sph",71.12,188353.6,0.000132729,1,0.02724,1e-05
25,"alpha","h2o",35.56,"h2o",7.62,"sph",71.12,188353.6,0.000132729,1,0.02723,1e-05
25,"alpha","h2o",35.56,"h2o",10.16,"sph",71.12,188353.6,0.000132729,1,0.02726,1e-05
25,"alpha","h2o",35.56,"h2o",12.7,"sph",71.12,188353.6,0.000132729,1,0.02724,1e-05
25,"alpha","h2o",35.56,"h2o",15.24,"sph",71.12,188353.6,0.000132729,1,0.02725,1e-05
25,"alpha","h2o",38.1,"h2o",2.54,"sph",76.2,231666.7,0.000107914,1,0.02262,1e-05
25,"alpha","h2o",38.1,"h2o",5.08,"sph",76.2,231666.7,0.000107914,1,0.02267,1e-05
25,"alpha","h2o",38.1,"h2o",7.62,"sph",76.2,231666.7,0.000107914,1,0.02268,1e-05
25,"alpha","h2o",38.1,"h2o",10.16,"sph",76.2,231666.7,0.000107914,1,0.02269,1e-05
25,"alpha","h2o",38.1,"h2o",12.7,"sph",76.2,231666.7,0.000107914,1,0.02269,1e-05
25,"alpha","h2o",38.1,"h2o",15.24,"sph",76.2,231666.7,0.000107914,1,0.02269,1e-05
25,"alpha","h2o",40.64,"h2o",2.54,"sph",81.28,281157.5,8.89e-05,1,0.01903,0
25,"alpha","h2o",40.64,"h2o",5.08,"sph",81.28,281157.5,8.89e-05,1,0.01906,0
25,"alpha","h2o",40.64,"h2o",7.62,"sph",81.28,281157.5,8.89e-05,1,0.01906,0
25,"alpha","h2o",40.64,"h2o",10.16,"sph",81.28,281157.5,8.89e-05,1,0.01906,0
25,"alpha","h2o",40.64,"h2o",12.7,"sph",81.28,281157.5,8.89e-05,1,0.01907,0
25,"alpha","h2o",40.64,"h2o",15.24,"sph",81.28,281157.5,8.89e-05,1,0.01907,1e-05
25,"alpha","h2o",43.18,"h2o",2.54,"sph",86.36,337238,7.41e-05,1,0.01613,0
25,"alpha","h2o",43.18,"h2o",5.08,"sph",86.36,337238,7.41e-05,1,0.01615,0
25,"alpha","h2o",43.18,"h2o",7.62,"sph",86.36,337238,7.41e-05,1,0.01616,0
25,"alpha","h2o",43.18,"h2o",10.16,"sph",86.36,337238,7.41e-05,1,0.01616,0
25,"alpha","h2o",43.18,"h2o",12.7,"sph",86.36,337238,7.41e-05,1,0.01617,0
25,"alpha","h2o",43.18,"h2o",15.24,"sph",86.36,337238,7.41e-05,1,0.01616,0
25,"alpha","h2o",45.72,"h2o",2.54,"sph",91.44,400320,6.25e-05,1,0.01379,0
25,"alpha","h2o",45.72,"h2o",5.08,"sph",91.44,400320,6.25e-05,1,0.01381,0
25,"alpha","h2o",45.72,"h2o",7.62,"sph",91.44,400320,6.25e-05,1,0.01382,0
25,"alpha","h2o",45.72,"h2o",10.16,"sph",91.44,400320,6.25e-05,1,0.01382,0
25,"alpha","h2o",45.72,"h2o",12.7,"sph",91.44,400320,6.25e-05,1,0.01382,0
25,"alpha","h2o",45.72,"h2o",15.24,"sph",91.44,400320,6.25e-05,1,0.01382,0
50,"alpha","h2o",2.54,"h2o",2.54,"sph",5.08,68.64197,0.7284173,1,0.16314,0.00023
50,"alpha","h2o",2.54,"h2o",5.08,"sph",5.08,68.64197,0.7284173,1,0.18797,0.00023
50,"alpha","h2o",2.54,"h2o",7.62,"sph",5.08,68.64197,0.7284173,1,0.19558,0.00023
50,"alpha","h2o",2.54,"h2o",10.16,"sph",5.08,68.64197,0.7284173,1,0.19795,0.00024
50,"alpha","h2o",2.54,"h2o",12.7,"sph",5.08,68.64197,0.7284173,1,0.19859,0.00026
50,"alpha","h2o",2.54,"h2o",15.24,"sph",5.08,68.64197,0.7284173,1,0.19857,0.00025
50,"alpha","h2o",5.08,"h2o",2.54,"sph",10.16,549.1358,0.09105216,1,0.34149,3e-04
50,"alpha","h2o",5.08,"h2o",5.08,"sph",10.16,549.1358,0.09105216,1,0.37056,0.00032
50,"alpha","h2o",5.08,"h2o",7.62,"sph",10.16,549.1358,0.09105216,1,0.37938,0.00031
50,"alpha","h2o",5.08,"h2o",10.16,"sph",10.16,549.1358,0.09105216,1,0.38159,0.00032
50,"alpha","h2o",5.08,"h2o",12.7,"sph",10.16,549.1358,0.09105216,1,0.38187,0.00031
